keys,zh,en
APP_TITLE,Scaling Up,Scaling Up
NAV_OPERATIONS,运营,Operations
NAV_RND,研发,R&D
NAV_MARKET,竞争对手,Competitors
ACTION_NEW,新建,New
ACTION_CANCEL,取消,Cancel
ACTION_CONFIRM,确认,Confirm
ACTION_OK,确定,OK
ACTION_DELETE,删除,Delete
SETTINGS_TITLE,设置,Settings
SETTINGS_SECTION_DISPLAY,显示,Display
SETTINGS_SECTION_AUDIO,音频,Audio
SETTINGS_SECTION_SYSTEM,系统,System
SETTINGS_LANGUAGE,语言,Language
SETTINGS_AUTOSAVE,推进回合时自动存档,Autosave on turn advance
SETTINGS_MUSIC,背景音乐,Background Music
SETTINGS_MUSIC_VOLUME,音乐音量,Music Volume
SETTINGS_SFX,界面音效,UI Sound Effects
SETTINGS_FULLSCREEN,全屏,Fullscreen
SETTINGS_UI_SCALE,界面缩放,UI Scale
SETTINGS_UI_SCALE_AUTO,自动,Auto
SETTINGS_RETURN_TO_MENU,返回主菜单,Return to Main Menu
RETURN_TO_MENU_CONFIRM_TITLE,返回主菜单？,Return to Main Menu?
RETURN_TO_MENU_CONFIRM_BODY,当前进度将自动存档，可从「继续游戏」恢复。,Progress is auto-saved; resume it from Continue.
RETURN_TO_MENU_CONFIRM_OK,返回,Return
APP_SUBTITLE,经营一家 AI 模型公司,Run an AI model company
MENU_NEW_GAME,新游戏,New Game
MENU_CONTINUE,继续游戏,Continue
MENU_LOAD,读取存档,Load Game
MENU_QUIT,退出游戏,Quit
MENU_NO_SAVE,没有可继续的存档,No save to continue
MENU_LOAD_FAILED,读档失败: %s,Load failed: %s
NAV_GROUP_MARKET,市场,Market
NAV_OVERVIEW,概览,Overview
NAV_ECONOMY,经济,Economy
NAV_HIRING,招聘,Hiring
NAV_STAFF,员工,Staff
NAV_TASKS,任务,Tasks
NAV_EVENTS,事件,Events
NAV_MODELS,模型,Models
NAV_INFRA,基建,Infrastructure
NAV_DATASET,数据,Data
NAV_TECH,科技,Tech
NAV_PRODUCT,产品,Products
NAV_MARKETING,营销,Marketing
NAV_MONETIZATION,营收,Revenue
TOPBAR_TURN,回合,Turn
TOPBAR_CASH,现金,Cash
TOPBAR_NET_CASHFLOW,周净流,Weekly net
TOPBAR_PUBLISHED,已发布,Published
TOPBAR_PUBLISHED_VALUE,%d 个,%d
TOPBAR_PAID_USERS,付费用户,Paid users
TOPBAR_COMPUTE,算力,Compute
TOPBAR_ADVANCE,推进回合 →,Advance →
ACTION_SAVE,存档,Save
SECTION_OVERVIEW_COMPANY,公司概览,Company Overview
SECTION_OVERVIEW_NEXT_STEPS,下一步建议,Next Steps
SECTION_OVERVIEW_ASSETS,资产清单,Assets
SECTION_ECONOMY_FUNDING,融资轮 (顺序解锁),Funding Rounds (sequential)
SECTION_ECONOMY_LOANS,贷款,Loans
SECTION_ECONOMY_LAST_WEEK,上周收支明细,Last Week's Cashflow
SECTION_ECONOMY_FINANCE_12W,最近 12 周财务表,Last 12 Weeks Financials
SECTION_ECONOMY_CASH_DEBT_EQUITY,现金 / 负债 / 股权,Cash / Debt / Equity
SECTION_MARKET_LEADERBOARD,排行榜 (玩家总榜名次: %s),Leaderboard (your overall rank: %s)
SECTION_REVENUE_LAST_WEEK,上周营收,Last Week's Revenue
SECTION_REVENUE_API,API 营收 (按模型 / 产品),API Revenue (by model / product)
SECTION_REVENUE_SUBSCRIPTION,订阅营收 (按产品),Subscription Revenue (by product)
SECTION_REVENUE_TOKEN_DEMAND,Token 需求 (按模型),Token Demand (by model)
BTN_FUNDING_DONE,已完成,Completed
BTN_FUNDING_ACCEPT,接受融资,Accept Funding
BTN_FUNDING_LOCKED,未解锁,Locked
BTN_APPLY_LOAN,申请贷款 ...,Apply for Loan ...
BTN_REPAY_FULL,提前还清 $%s,Repay $%s
BOARD_TOTAL,总榜,Overall
BOARD_CLOSED_SOURCE,闭源榜,Closed-source
BOARD_OPEN_SOURCE,开源榜,Open-source
BOARD_SUB_GENERAL,通用细分榜,General
BOARD_SUB_CODE,代码细分榜,Code
BOARD_SUB_REASONING,推理细分榜,Reasoning
BOARD_SUB_MULTIMODAL,多模态细分榜,Multimodal
BOARD_SUB_AGENT,Agent 细分榜,Agent
EVENT_PENDING,待处理事件,Pending Events
EVENT_HISTORY,历史,History
EVENT_HISTORY_RECENT,历史 (最近 %d),History (last %d)
MSG_NONE,(无),(none)
EVENT_DISMISS,知道了,Got it
EVENT_FIELD_BODY,说明,Details
EVENT_MISSING_TITLE,事件模板缺失,Missing event template
EVENT_MISSING_BODY,这个待处理事件的模板 %s 已不存在。点「知道了」可移除它并继续推进。,The template %s for this pending event no longer exists. Click Got it to remove it and continue.
EVENT_CAT_OPPORTUNITY,机会,Opportunity
EVENT_CAT_CRISIS,危机,Crisis
EVENT_CAT_ROUTINE,日常,Routine
EVENT_CAT_FLAVOR,新闻,News
EVENT_CAT_DEBUG,调试,Debug
EVENT_CONSEQ_NONE,无直接影响,No direct effect
EVENT_CONSEQ_SPEND,支出约 $%s,Spend ~$%s
EVENT_CONSEQ_AWARD,获得约 $%s,Gain ~$%s
EVENT_CONSEQ_SUBS_UP,订阅约 +%s,Subscribers ~+%s
EVENT_CONSEQ_SUBS_DOWN,订阅约 -%s,Subscribers ~-%s
EVENT_CONSEQ_DC_TERMINATE,随机移除一座数据中心；自购 GPU 会二手出售,Remove a random datacenter; owned GPUs are resold
EVENT_CONSEQ_DATASET_DELETE,随机永久删除一份数据集,Permanently delete a random dataset
EVENT_CONSEQ_TECH_GRANT,解锁一项科技节点,Unlock a tech node
EVENT_CONSEQ_MODEL_BUFF,改变某个模型的能力,Alter a model's capability
TECH_TREE_LABEL,%s科技树,%s Tech Tree
TECH_LOCKED_PREFIX,锁定 ·,Locked ·
TECH_RESEARCH_BTN,研究 (%d 周),Research (%d wk)
TECH_RESEARCHING,研究中…,Researching…
TECH_STATUS_UNLOCKED,已解锁,Unlocked
TECH_STATUS_AVAILABLE,可研究,Available
TECH_STATUS_RESEARCHING,研究中,Researching
TECH_STATUS_LOCKED,锁定,Locked
TECH_SUMMARY_UNLOCKED,已解锁 %d,Unlocked %d
TECH_SUMMARY_AVAILABLE,可研究 %d,Available %d
TECH_SUMMARY_RESEARCHING,研究中 %d,Researching %d
TECH_SUMMARY_LOCKED,锁定 %d,Locked %d
TECH_PREREQ_LABEL,需要: %s,Needs: %s
STATUS_LOCKED,未解锁,Locked
HIRING_FOUNDER,创始人 (你自己),Founder (you)
HIRING_POOL,"候选 Lead 池 (本周, 月底刷新)","Candidate Leads (this week, monthly refresh)"
HIRING_BECOME_FOUNDER_RESEARCHER,+ 成为创始研究员,+ Become founding researcher
HIRING_POOL_EMPTY,"(本周还未刷新, 推进一回合查看)",(Not refreshed yet — advance a turn)
FILTER_ALL,全部,All
MODEL_FILTER_PRETRAINED,已预训练,Pretrained
MODEL_FILTER_POSTTRAINED,已后训,Post-trained
MODEL_FILTER_EVALUATED,已评估,Evaluated
MODEL_FILTER_PUBLISHED,已发布,Published
MODEL_SORT_RECENT,最近创建,Recent
MODEL_SORT_NAME,按化名,By codename
MODEL_SORT_SIZE,按参数量,By params
MODEL_SECTION,我的模型,My Models
MODEL_NEW,+ 训练新模型...,+ Train new model...
MODEL_SEARCH_PLACEHOLDER,搜索化名,Search codename
MODEL_EMPTY_TITLE,还没有模型,No models yet
MODEL_EMPTY_HINT,"训练第一个模型, 开启你的模型库",Train your first model to start your library
STATUS_IN_PROGRESS,进行中,In progress
FIELD_PROGRESS,进度,Progress
FIELD_TARGET,目标,Target
FIELD_DATACENTER,数据中心,Datacenter
FIELD_DATASET,数据集,Datasets
COUNT_PEOPLE,%d 人,%d people
COUNT_ITEMS,%d 个,%d
STAFF_HIRED_LEADS,已签约 Lead,Signed Leads
STAFF_BY_ROLE,员工 (按职能),Staff (by role)
STAFF_FOUNDER_NOTE,"创始人已加入 (万能 lead · 无加成); 招到专精 lead 后可顶替, 创始人腾出做别的。",Founder joined (all-rounder · no bonus); hire a specialist lead to replace them and free the founder up.
STAFF_NOT_FOUNDER,(创始人开局会自动加入团队),(The founder joins the team automatically at game start)
STAFF_NO_LEADS,"(暂无 lead, 去「招聘」tab 签约)",(No leads — sign one in the Hiring tab)
STAFF_ROLE_ROW,%s: %d (在忙 %d) · $%s/周,%s: %d (busy %d) · $%s/wk
STAFF_PLUS_ONE,+1 (+%s/周),+1 (+%s/wk)
STAFF_CANT_FIRE_BUSY,"在忙员工不能解雇, 等任务完成再试",Busy staff can't be fired — wait for the task to finish
STAFF_TOTAL_SALARY,本周总工资: %s  (lead %s + staff %s),This week's payroll: %s  (lead %s + staff %s)
STAFF_ROLE_ML_ENG,ML 工程师,ML Engineer
STAFF_ROLE_INFRA_ENG,基建工程师,Infra Engineer
STAFF_ROLE_DATA_ENG,数据工程师,Data Engineer
STAFF_ROLE_MARKETING,营销,Marketing
STAFF_ROLE_OPS,运维,Ops
TASKS_IN_PROGRESS,进行中任务,Tasks in Progress
TASKS_EMPTY_TITLE,暂无进行中的任务,No tasks in progress
TASKS_EMPTY_HINT,"去「模型」「数据」「科技」页面启动一项任务, 它会出现在这里",Start a task from the Models / Data / Tech pages — it'll appear here
TASKS_PROGRESS_VALUE,%d / %d 周,%d / %d wk
TASK_SUBTYPE_PRETRAIN,预训练,Pretrain
TASK_SUBTYPE_POSTTRAIN,后训练,Post-train
TASK_SUBTYPE_EVALUATE,评估,Evaluate
TASK_SUBTYPE_DATA_COLLECTION,数据采集,Data collection
TASK_SUBTYPE_TECH_RESEARCH,科技研究,Tech research
TASK_SUBTYPE_CHARITY,公益捐助,Philanthropy donation
TASK_SUBTYPE_SIMULATION,宇宙模拟,Universe simulation
PRODUCT_CREATE_SECTION,创建新产品,Create Product
PRODUCT_LIVE_SECTION,已上线产品,Live Products
PRODUCT_CREATE_BTN,+ 创建产品...,+ Create product...
PRODUCT_CREATE_HINT,(对话框里能看到所有类型的解锁状态),(The dialog shows unlock status for all types)
PRODUCT_NEED_MODEL,(需要先发布至少一个模型),(Publish at least one model first)
PRODUCT_COMPUTE_POOL,算力池 (按模型),Compute Pool (by model)
PRODUCT_POOL_HEADER,%s · 容量 %s | 需求 %s | 占用 %s,%s · cap %s | demand %s | used %s
PRODUCT_POOL_DETAIL,订阅 %s · API %s,Subscription %s · API %s
PRODUCT_WARN_NOT_DEPLOYED,注意: 该模型尚未在任何 DC 部署 — 全部需求会丢,Note: this model isn't deployed on any DC — all demand is lost
PRODUCT_WARN_CAPACITY,注意: 算力不足 — 订阅营收与 API 都按比例截断,Note: insufficient compute — subscription and API throttled proportionally
PRODUCT_GOTO_INFRA,→ 去基建扩容,→ Scale up in Infrastructure
MARKETING_CREATE_SECTION,启动新活动,Launch Campaign
MARKETING_CREATE_BTN,+ 新建活动…,+ New campaign…
MARKETING_CREATE_SECTION_COUNT,启动新活动  (%d / %d),Launch Campaign  (%d / %d)
MARKETING_UNKNOWN_PRODUCT,(未知产品),(unknown product)
MARKETING_BUDGET_VALUE,$%s/周,$%s/wk
MARKETING_PROGRESS_VALUE,%d%% (%d / %d 周),%d%% (%d / %d wk)
FIELD_WEEKLY_BUDGET,周预算,Weekly budget
FIELD_WEEKLY_API_DEMAND,每周 API 需求,Weekly API demand
FIELD_WEEKLY_NEW_USERS,每周新用户,Weekly new users
MARKETING_API_DEMAND_VALUE,+%s tokens/周,+%s tokens/wk
MARKETING_NEW_USERS_VALUE,+%s 人,+%s
MARKETING_SUBTITLE,$%s/周  ·  %d 周,$%s/wk  ·  %d wk
MARKETING_TERMINATE,终止,Terminate
MARKETING_FOUNDER_BONUS,创始人加成 · 新增用户 ×%.2f,Founder perk · new users ×%.2f
INFRA_SECTION,数据中心,Datacenters
INFRA_NEW_DC,+ 新建数据中心...,+ New datacenter...
INFRA_OWN_RENTED,租用,Rented
INFRA_OWN_OWNED,自建,Owned
INFRA_SIZE_SMALL,≤72 卡,≤72 GPUs
INFRA_SIZE_MID,≤8k 卡,≤8k GPUs
INFRA_SIZE_LARGE,>8k 卡,>8k GPUs
INFRA_STATUS_IDLE,空闲,Idle
INFRA_STATUS_TRAINING,训练中,Training
INFRA_STATUS_SERVING,推理中,Serving
INFRA_EMPTY,"(还没有机房, 点上方按钮新建)",(No datacenters yet — use the button above)
INFRA_EMPTY_FILTERED,(没有符合筛选条件的机房),(No datacenters match the filter)
INFRA_BUILDING,自建中,Building
INFRA_NO_GPU,无 GPU,No GPU
INFRA_BUILD_ROW,  %s [%s]  剩余 %d / %d 周,  %s [%s]  %d / %d wk left
INFRA_BUILD_GPU,预装 GPU,Preinstalled GPU
INFRA_BUILD_DURATION,工期,Build time
INFRA_BUILD_DURATION_VALUE,剩余 %d / %d 周,%d / %d wk left
DATASET_SRC_OPEN,开源,Open-source
DATASET_SRC_PURCHASED,商业,Commercial
DATASET_SRC_COLLECTED,自采,Self-collected
DATASET_KIND_HEADER_PRE,── 预训练数据集市场 ──,── Pretrain Dataset Market ──
DATASET_KIND_HEADER_POST,── 后训练数据集市场 ──,── Post-train Dataset Market ──
DATASET_COLLECT_SECTION,自行采集,Self-collect
DATASET_COLLECT_BTN,开始采集...,Start collection...
DATASET_COLLECT_PRE,开始采集预训练数据集...,Collect pretrain dataset...
DATASET_COLLECT_POST,开始采集后训练数据集...,Collect post-train dataset...
DATASET_OWNED,我的,Mine
DATASET_OWNED_COUNT,我的 (%s),Mine (%s)
DATASET_MARKET_EMPTY,(此分类暂无可用模板),(No templates in this category)
DATASET_MARKET_EMPTY_FILTERED,(无符合筛选的模板),(No templates match the filter)
DATASET_OWNED_EMPTY,(暂无),(none yet)
DATASET_OWNED_EMPTY_FILTERED,(无符合筛选的数据集),(No datasets match the filter)
DATASET_ACQUIRE,获取,Acquire
DATASET_PURCHASE,购买 $%s,Buy $%s
DATASET_STATUS_AVAILABLE,可用,Available
DATASET_STATUS_LOCKED,锁定,Locked
FIELD_SOURCE,来源,Source
FIELD_MODALITY,模态,Modality
FIELD_SIZE,规模,Size
FIELD_TAGS,标签,Tags
FIELD_MULTIPLIER,倍率,Multiplier
FIELD_QUALITY,质量,Quality
FIELD_PRICE,价格,Price
FIELD_LOCKED,锁定,Locked
DATASET_MOD_TEXT,文本,Text
DATASET_MOD_IMAGE,图像,Image
DATASET_MOD_MULTIMODAL,多模态,Multimodal
DATASET_MOD_CODE,代码,Code
DATASET_TAG_WEB,网页,Web
DATASET_TAG_BOOKS,书籍,Books
DATASET_TAG_CODE,代码,Code
DATASET_TAG_LANGUAGES,语言,Languages
DATASET_TAG_MATH,数学,Math
DATASET_TAG_REASONING,推理,Reasoning
DATASET_TAG_SCIENCE,科学,Science
DATASET_TAG_IMAGE,图像,Image
DATASET_TAG_MULTIMODAL,多模态,Multimodal
DATASET_TAG_ARXIV,论文,Papers
DATASET_TAG_REVIEWS,评论,Reviews
DATASET_TAG_TEXTBOOK,教材,Textbook
DATASET_TAG_EDU,教育,Education
DATASET_TAG_NEWS,新闻,News
DATASET_TAG_CHAT,对话,Chat
DATASET_TAG_AGENT,智能体,Agent
DATASET_TAG_SAFETY,安全,Safety
ACTION_SELECT,选择,Select
FIELD_AMOUNT,金额,Amount
FIELD_TERM,期数,Term
COUNT_WEEKS,%d 周,%d wk
NEWGAME_START,开始游戏,Start Game
NEWGAME_BACK,返回,Back
NEWGAME_YOUR_NAME,你的名字,Your name
NEWGAME_COMPANY_NAME,公司名字,Company name
NEWGAME_PLAYER_PLACEHOLDER,请输入创始人名称,Enter founder name
NEWGAME_COMPANY_PLACEHOLDER,请输入公司名称,Enter company name
NEWGAME_NAMES_REQUIRED,请填写创始人名称和公司名称,Enter founder and company names
NEWGAME_PREVIEW_PLAYER_PLACEHOLDER,未命名创始人,Unnamed founder
NEWGAME_PREVIEW_COMPANY_PLACEHOLDER,未命名公司,Unnamed company
NEWGAME_SECTION_IDENTITY,创始人档案,Founder profile
NEWGAME_SECTION_BRAND,公司品牌,Company brand
NEWGAME_CHOOSE_ORIGIN,选择出身,Choose origin
NEWGAME_CHOOSE_LOGO,选择公司标志,Choose company logo
NEWGAME_CHOOSE_AVATAR,选择个人头像,Choose your avatar
NEWGAME_PREVIEW,预览,Preview
NEWGAME_PLACEHOLDER,%s,%s
FUNDING_DLG_TITLE,接受融资轮,Accept Funding Round
FUNDING_CONFIRM,确认接受,Confirm
FUNDING_RECONSIDER,再想想,Reconsider
FUNDING_ACCEPT_TITLE,接受 %s,Accept %s
FUNDING_SUMMARY,轮次: %s\n金额区间: $%s ~ $%s · 稀释区间: %.1f%% ~ %.1f%%\n估值参考: $%s · 当前创始人持股: %.1f%%,Round: %s\nAmount: $%s ~ $%s · Dilution: %.1f%% ~ %.1f%%\nValuation: $%s · Current founder stake: %.1f%%
FUNDING_VALUATION,估值: $%s,Valuation: $%s
FUNDING_DILUTION,稀释: %.2f%%,Dilution: %.2f%%
FUNDING_FOUNDER_AFTER,稀释后创始人: %.1f%% (当前 %.1f%%),Founder after: %.1f%% (now %.1f%%)
FUNDING_WARN_50,"稀释后创始人 ≤ 50%%, 公司将拒绝此条件",Founder stake after ≤ 50%%; the company will reject these terms
FUNDING_FAILED,融资失败: %s,Funding failed: %s
LOAN_DLG_TITLE,申请贷款,Apply for Loan
LOAN_CONFIRM,确认贷款,Confirm Loan
LOAN_RATING,信用评级: %s,Credit rating: %s
LOAN_RATE,周期利率: %.2f%%,Periodic rate: %.2f%%
LOAN_MAX,最高可贷: $%s,Max loan: $%s
LOAN_PREVIEW,"到账 $%s · 期数 %d 周 · 周还款 $%s (利息 $%s + 本金 $%s)\n按周利率 %.2f%% 估算, 全程利息合计 $%s","Receive $%s · Term %d wk · Weekly payment $%s (interest $%s + principal $%s)\nAt %.2f%% weekly rate, total interest $%s"
LOAN_WARN_GT0,金额需大于 0,Amount must be greater than 0
LOAN_WARN_OVER,金额超出信用上限 $%s,Amount exceeds credit limit $%s
LOAN_FAILED,贷款失败: %s,Loan failed: %s
ACTION_CLOSE,关闭,Close
FIELD_NAME,名称,Name
FIELD_WEEKS,周数,Weeks
FIELD_PREVIEW,预览,Preview
SAVE_TITLE,存档 / 读档,Save / Load
SAVE_SECTION_CREATE,手动存档,Manual Save
SAVE_SECTION_SLOTS,存档列表,Save Slots
SAVE_NEW,新建存档:,New save:
SAVE_SLOT_PLACEHOLDER,"slot 名 (a-z 0-9 _ -, 留空= manual_<回合>)","slot name (a-z 0-9 _ -, blank = manual_<turn>)"
SAVE_BTN,保存,Save
SAVE_EMPTY_TITLE,还没有存档,No saves yet
SAVE_EMPTY_HINT,输入一个 slot 名并保存，或推进回合生成 autosave。,"Enter a slot name and save, or advance a turn to create autosave."
SAVE_OK,已存档到 slot: %s (回合 %d),Saved to slot %s (turn %d)
SAVE_FAILED,存档失败: %s,Save failed: %s
SAVE_LOADED,已读档: %s (回合 %d),Loaded: %s (turn %d)
SAVE_NO_DEL_AUTO,不允许手动删除 autosave,Can't manually delete autosave
SAVE_DELETED,已删除 slot: %s,Deleted slot %s
SAVE_DEL_FAILED,删除失败: %s,Delete failed: %s
SAVE_AUTO_TAG,[自动],[auto]
SAVE_META,回合 %d  ·  %s,Turn %d  ·  %s
SAVE_LOAD_BTN,读取,Load
SAVE_OVERWRITE,覆盖,Overwrite
SAVE_CORRUPT,(损坏),(corrupt)
PRICE_TITLE,调整 API 单价,Adjust API Price
PRICE_CONFIRM,确认改价,Confirm
PRICE_NO_MODEL,模型不存在,Model not found
PRICE_OPEN_SOURCE,开源,Open-source
PRICE_CLOSED_SOURCE,闭源,Closed-source
PRICE_TITLE_LABEL,%s (%s) · 当前 %s,%s (%s) · now %s
PRICE_COST_GUIDE,推理成本 %s · 指导价 %s,Inference cost %s · Guide price %s
PRICE_NEW,新单价,New price
PRICE_PREVIEW_FAILED,预览失败: %s,Preview failed: %s
PRICE_ZONE_ZERO,"⚠ 需求归零: 单价 ≥ 2.5× 指导价, 当周新增需求清零",⚠ Demand zeroed: price ≥ 2.5× guide; new weekly demand wiped
PRICE_ZONE_BOOST,增益区: 价格 ≤ 0.6× 指导价,Boost zone: price ≤ 0.6× guide
PRICE_ZONE_NEUTRAL,中性区: 接近指导价,Neutral zone: near guide price
PRICE_ZONE_PENALTY,"惩罚区: 高于指导价, 每周需求衰减",Penalty zone: above guide; weekly demand decays
PRICE_PREVIEW,定价比 %.0f%% · 周需求增长 %s · %s,Price ratio %.0f%% · weekly demand growth %s · %s
PRICE_ZERO_SHORT,⚠ 需求归零,⚠ Demand zeroed
PRICE_GROWTH_POS,+%.1f%%/周,+%.1f%%/wk
PRICE_GROWTH,%.1f%%/周,%.1f%%/wk
PRICE_FAILED,改价失败: %s,Price change failed: %s
CAMPAIGN_TITLE,新建营销活动,New Campaign
CAMPAIGN_START,启动活动,Launch
CAMPAIGN_NAME_PLACEHOLDER,(可选) Launch wave,(optional) Launch wave
CAMPAIGN_PER_WEEK,$/周,$/wk
CAMPAIGN_TARGET_PRODUCT,目标产品,Target product
CAMPAIGN_UNBOUND,(未绑定),(unbound)
CAMPAIGN_NO_LEAD,"(无 Lead, 不要加成也能跑)",(No lead — runs without bonus)
CAMPAIGN_FOUNDER_SUFFIX, (创始人 · 无加成), (founder · no bonus)
CAMPAIGN_LEAD_ITEM,%s [%s 级 · 能力 %.0f]%s,%s [tier %s · ability %.0f]%s
CAMPAIGN_TOTAL,总投入: $%s (%d 周),Total: $%s (%d wk)
CAMPAIGN_FOUNDER_GROWTH,创始人 ×%.2f,founder ×%.2f
CAMPAIGN_CAC,预计获客成本: $%.2f / 用户%s,Est. CAC: $%.2f / user%s
